VENDOR_NAME,CHECK_NUMBER,CHECK_DATE,CHECK_AMOUNT,INVOICE_NUM,INVOICE_DESCRIPTION,DIST_AMOUNT,DISTDESCRIPTION,FUND,FUND_DESCRIPTION,COST_CENTER,COST_DESCRIPTION,ACCOUNT,ACCOUNT_DESCRIPTION,TYPE_OF_DISBUSEMENT
Miscellaneous Vendor,664118,05/19/2015,42.36,1435567314-2556916,PP 2014 125920,11.50,PP 2014 125920,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
DOMINION LOCK AND SECURITY,662399,05/11/2015,260.00,150408-010,ORDER # 97768,260.00,Lock on gun safe will not open,100,General Fund,1604,Sheriff-Jail Operations,70161,Management Services,CHECK
Warwick Plumbing And Heating Corporation,665033,05/26/2015,32897.41,59547,WORK ORDER 60812,320.00,Service repairs on the HVAC system in several buildings..,100,General Fund,2902,DPW-Gen Svcs-Facili,80006,Equipment And Other Assets Expense,CHECK
EAST END LANDFILL LLC   THE,663310,05/12/2015,7325.00,61271,Cust # 1023,48.75,Single Axle Dump Truck,802,Water Construction Fund,92001,Water Operations,70219,Landfill Services,CHECK
Miscellaneous Vendor,666210,05/29/2015,157.37,1436215314-2582340,PP 2014 159122,122.87,PP 2014 159122,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,666119,05/29/2015,36.86,1451189914-2582388,PRO HENRICO,36.86,PRO HENRICO,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,663401,05/13/2015,60.00,201133 -0515,Jury Payment for MARK T POWELL  201133,60.00,Jury Payment for MARK T POWELL  201133,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
"PCMG, INC.",662003,05/07/2015,97.00,S89758820103,ACCT 0161622287,-15.00,QUOTE S8975882 - 01/23/2015 - ITEM #9730830 - AX210 SPEAKER KZALAT 657358405,100,General Fund,1401,Human Serv-Management Serv,80006,Equipment And Other Assets Expense,CHECK
QUALITY UNIFORM COMPANY INC,663317,05/12/2015,993.00,3498,Navy Poly/Wool Cargo Pkt Pants,440.00,Navy Dark Long Shirt,100,General Fund,4103,Police-Administration,71011,Uniforms & Safty Supplies-Employee,CHECK
R AND R OFFICE SUPPLY,662236,05/08/2015,5884.85,0451986-001,ACCT# CRPA01-0,37.29,"Retractable gel pens feature a soft rubber grip, medium point, and wide barrel for writing comfort. Use durable plastic pocket clip to attach to notebooks and pockets. Gel pens contain acid-free, archival-quality ink. Ultra-fast dry ink del",100,General Fund,4103,Police-Administration,71012,Office Supplies And Stationary,CHECK
B W WILSON PAPER CO,664538,05/20/2015,1716.35,1798174,CUTOMER 1191560,15.50,Mesh 3 tier desk shelf/ROL 22341,100,General Fund,4103,Police-Administration,71012,Office Supplies And Stationary,CHECK
BLUE RIDGE RESCUE SUPPLIES,126933,05/01/2015,1693.32,35145,FAB/LEATHER,670.00,"Pro Warrington: 5006, Structural Firefighting Boots SIZE 10 EEE , FOR J. DICKENS, STOCK INVENTORY",100,General Fund,4203,Fire-Fire Operations,76501,Fire Protection and Emergency Services Supplies,EFT
JOHNSON CONTROLS,665967,05/28/2015,1806.32,1-19586388408,REGULAR SECURITY AND FIRE SYSTEM,340.10,Cooper Mass Notification Service,809,Waste Water Operating Fund,93002,Wastewater Maintenance,80006,Equipment And Other Assets Expense,CHECK
Fun Express LLC,663770,05/15/2015,2888.41,671309504-02,ACCT# 35598369,5.59,Summer Camp supplies,100,General Fund,3010,Parks&Rec-Northside Richmond,71144,Recreational Supplies,CHECK
ASHIKI BRANCH,665978,05/28/2015,42.00,52022,ASHIKI BRANCH,42.00,orientation MYA,100,General Fund,3006,Parks&Rec-Cultural Arts,70552,Contract And Temporary Personnel Services,CHECK
Miscellaneous Vendor,663507,05/13/2015,30.00,52608 -0515,Jury Payment for SHELLEY M SMITH  52608,30.00,Jury Payment for SHELLEY M SMITH  52608,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
Miscellaneous Vendor,664226,05/19/2015,32.25,1441200814-2556957,PP 2014 335861,32.25,PP 2014 335861,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
TRANSCAT INC,664302,05/19/2015,690.26,978748,LOW PRESSURE TEST PUMP,690.26,VENDOR REPAIR/SERVICE FOR GAUGES INSTRUMENTATION-TRANSCAT INC,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,70552,Contract And Temporary Personnel Services,CHECK
LEWIS SUPPLY COMPANY INC,132608,05/27/2015,2100.00,1552769,FOAM CORE PVC,2100.00,6X20 Foam Core PVC DWV Pipe-Collections c/o P Wyatt,809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,EFT
ACORN SIGN GRAPHICS INC,132586,05/27/2015,1326.00,172294,ESTIMATE # 133989,1326.00,Signage Installation,402,Retirement Fund,1801,Retirement-Richmond Retire,80006,Equipment And Other Assets Expense,EFT
Miscellaneous Vendor,660757,05/06/2015,14.76,1335954713-2543648,PP 2013 170594,14.76,PP 2013 170594,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
HOMEWARD,664991,05/26/2015,300.00,HOMEWARD2015,"Reg.G Smith, T Walker, E Caldwell, G Snead, T Jomes, F Drayton",300.00,"Reg.G Smith, T Walker, E Caldwell, G Snead, T Jomes, F Drayton",100,General Fund,2708,Social Ser-Adult/Family Ad,72124,Employee Training,CHECK
Miscellaneous Vendor,662470,05/12/2015,12.95,1431762514-2549691,PP 2014 48904,12.95,PP 2014 48904,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Douron Inc,130389,05/12/2015,2208.00,254225,CUST# 008597,2208.00,Douron P.O. for Nienkamper Furniture for the Manin Library Second Floor Project,601,Capital Projects Funds,23001,Buildings Projects/Grants,76401,Construction,EFT
Miscellaneous Vendor,664123,05/19/2015,45.70,1434702914-2556911,PP 2014 89824,14.00,PP 2014 89824,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
R AND R OFFICE SUPPLY,662236,05/08/2015,5884.85,0451986-001,ACCT# CRPA01-0,77.61,"Reversible monthly planner provides a convenient write-on, wipe-off surface that is reversible for two sides of planning. One side has 12 months from January to December horizontally listed with a blue border, and the other side has the sam",100,General Fund,4103,Police-Administration,71012,Office Supplies And Stationary,CHECK
INFIAN LLC,664957,05/26/2015,26218.60,INV-1408-2015,Operating Supplies,125.00,Code Blue LED Beacon,100,General Fund,4103,Police-Administration,70215,Equipment Repair and Maint Services,CHECK
SCHNEIDER ELECTRIC IT CORPORATION,663679,05/14/2015,117.38,1747190,CUSTOMER 65689,111.00,"DAILY PBQ QUOTES 03/23/2015 #031715061 UPS GRND , A1A466397.00 REPAIR, NONE OUTPUT ISOLATOR B07100021",808,Water Operating Fund,92002,Water Maintenance,76104,Utility Operating Supplies,CHECK
B W WILSON PAPER CO,663621,05/13/2015,10658.88,1798118,cust# 1190000,71.50,Monthly Paper Order for FY15-Husky Recy 8-1/2X11 20lb- Item Code 3160; Contract 1400000299,100,General Fund,2001,DIT-Administration,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,661601,05/06/2015,23.16,1336269813-2543680,VEH MOVED OUT OFCITY,23.16,VEH MOVED OUT OFCITY,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,666256,05/29/2015,11.50,1531567315-2582407,PP 2015 53491,11.50,PP 2015 53491,100,General Fund,2510,Finance-City Wide Reven,41101,Personal Property Tax  Current,CHECK
BAKER & TAYLOR INC,660459,05/05/2015,2068.49,5013582814,ACCT# 304545 L398559 3 B00000,39.84,ACCT# 304545 L398559 3 B00000,100,General Fund,303,Library -Children And Fa,71141,Books & Reference Materials,CHECK
U S DEPT OF EDUCATION,664593,05/20/2015,3086.72,228516PR,Student Loans See Attached,3086.72,Student Loans See Attached,100,General Fund,2502,Finance-General Accounting,20009,12-Student Loan,CHECK
BIG HERM KITCHEN,128871,05/06/2015,86.78,8052,CATERING,86.78,1st Precinct MPACT mtg.,100,General Fund,2101,CAO-City-Wide Leadership Admin&Mgt,70553,Food & Drink Services,EFT
MOORE MEDICAL LLC,665117,05/27/2015,1635.40,985264201,STERI-FAB 16 OZ SPRING BOTTLE,23.45,82135 - BERMAN COLOR CODED AIRWAY KIT - BVM DISPOSAL INFANT,201,Grants Fund,4209,Fire&Emg Serv Projects/Grants,71171,Medical And Laboratory Supp,CHECK
AFSCME COUNCIL 30,662112,05/07/2015,90.90,228433PR,Payroll Deductions PPE 5/1/2015,90.90,Payroll Deductions PPE 5/1/2015,100,General Fund,2502,Finance-General Accounting,20043,Afscme Union Dues Wh,CHECK
Miscellaneous Vendor,664136,05/19/2015,31.30,1434364714-2556905,PP 2014 86087,19.80,PP 2014 86087,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
ROBERT HALF INTERNATIONAL,663246,05/12/2015,17317.48,42579813,"SMITH, DOMINIQUE D",170.97,OfficeTeam A Robert Half Company. Temps for the Call Center week ending  3/15/15 DPU-70552,808,Water Operating Fund,98001,Customer Service,70552,Contract And Temporary Personnel Services,CHECK
BENCHMARK VA LLC SUBSURFACE UTILITY SERVICES,127077,05/04/2015,53810.85,15041502,TICKETS FOR COR901 (F/O),12.69,RFP/Non-Professional Services/DPU/Underground Utility Locating/11193-3,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,76113,Miscellaneous Utility Services,EFT
Miscellaneous Vendor,662008,05/07/2015,33.93,659924-001523,DPUCIS: CHRISTOPHER MEYER  05-MAY-15,33.93,DPUCIS: CHRISTOPHER MEYER  05-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
R AND R OFFICE SUPPLY,664311,05/19/2015,8675.88,0462263-001,ATTN: ROBIN WALTON,-0.06,Latex-free pencil eraser is soft and pliable for correcting pencil mistakes. Eraser has beveled ends for accurate erasing.,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,71012,Office Supplies And Stationary,CHECK
RIBBONS AND ROLLS  INC,663923,05/18/2015,2553.51,0439168-001,ACCT # CRPA01-0,47.10,"Quote 6858 Branch
RUB14095ROS CUP PENCIL MULTI FUNC BK",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
RIBBONS AND ROLLS  INC,663923,05/18/2015,2553.51,0439168-001,ACCT # CRPA01-0,47.10,"Quote 6858 Branch
RUB14095ROS CUP PENCIL MULTI FUNC BK",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
MILES AHEAD DISTRIBUTION INC,127400,05/05/2015,37438.35,5174-4,Cleaning Supplies,91.00,Speedee Mop Neutral Cleaner Concentrate 4/1 gal.,100,General Fund,2902,DPW-Gen Svcs-Facili,71131,Janitorial Supplies,EFT
Miscellaneous Vendor,664406,05/20/2015,183.39,257441-001593,DPUCIS: JOHN ATKINS  19-MAY-15,183.39,DPUCIS: JOHN ATKINS  19-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
Miscellaneous Vendor,666245,05/29/2015,32.59,1434550314-2582323,PP 2014 88140,32.59,PP 2014 88140,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Shred-it US JV LLC,660018,05/01/2015,87.50,146152405,CIRCUIT COURT,87.50,Shredding Documents,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,662926,05/12/2015,34.15,1450591914-2550208,PP 2014 95442,11.50,PP 2014 95442,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
PLEASANTS HARDWARE INC,665073,05/27/2015,820.57,258234/7,CUST # 60715 - ORDER # 47129,3.45,SPairING SNAP 3/4X4-3/4 ZN,100,General Fund,3020,Parks&Rec-Southside Rva,72154,Small Tools,CHECK
Miscellaneous Vendor,662525,05/12/2015,5.02,1432869414-2549777,PP 2014 67146,5.02,PP 2014 67146,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,659987,05/01/2015,50.00,2014005- 21851,WhiteHouse Christmas Trip,50.00,WhiteHouse Christmas Trip,1314,Senior Citizens Programs,0,Default,22104,Due To Various Agents,CHECK
AIRGAS SPECIALTY PRODUCTS,662428,05/11/2015,757.29,9036598116,ORDER # 1034052001,0.62,"Glove Work Lg Heavy Weight
cotton jersey
RAD64056308",100,General Fund,2903,DPW-Solid Waste Man,71011,Uniforms & Safty Supplies-Employee,CHECK
SYSTEM INTEGRATION TECHNOLOGIE,129274,05/08/2015,4200.00,150414,Support and program modification of mltiple sites/functions,4200.00,PRICING FOR SUPPORT AND PROGRAM MODIFICATION OF MULTIPLE SITES/FUNCTION FROM DAVID DENNY,808,Water Operating Fund,92002,Water Maintenance,70215,Equipment Repair and Maint Services,EFT
Eunice M. Wilder,661905,05/06/2015,165.00,5731-5864,Luncheon Fee for constructional Officiers; Regis. Fee TAV Spring 2015 Districk meeting,95.00,Luncheon Fee for constructional Officiers; Regis. Fee TAV Spring 2015 Districk meeting,100,General Fund,5201,Treasurer - City Treasurer,72121,Conference /Conventions,CHECK
Miscellaneous Vendor,661673,05/06/2015,60.06,1340989313-2543986,PP 2013 319323,48.56,PP 2013 319323,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
UNITED PARCEL SERVICES,661921,05/06/2015,40.51,0000W86R03155,SHIPPING# W86R03,26.22,United Parcel Services,100,General Fund,8701,Emergency Communication,72112,Express Delivery Services,CHECK
MIDWEST TAPE LLC,664050,05/18/2015,2370.12,92784218,ACCT # 2000003018,162.83,ACCT # 2000003018,100,General Fund,302,Library -Adult And Famil,71141,Books & Reference Materials,CHECK
DIAMOND SPRINGS WATER,664717,05/21/2015,199.35,424099270,CUST # 1512600,9.75,"Drinking water/ equipment rental fees in three location. This is being split amongst the east end, finance collection area and real estate.",100,General Fund,2506,Finance-Collections,70161,Management Services,CHECK
"France Environmental, Inc.",664924,05/26/2015,12549.00,5884,ASBESTOS PROJECT MONITOR,4537.00,EDI Bldg monitoring services for hazard material off of roof,601,Capital Projects Funds,23001,Buildings Projects/Grants,76401,Construction,CHECK
Miscellaneous Vendor,663420,05/13/2015,30.00,90377 -0515,Jury Payment for ROBIN D CAVELL  90377,30.00,Jury Payment for ROBIN D CAVELL  90377,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
HERTZ EQUIPMENT RENTAL,662211,05/08/2015,3950.00,27736869-011,CUST # 2885969,3950.00,Wheel Loader/3YD/GEN BKT(5),100,General Fund,2904,DPW-Surface Cleanin,70511,Equipment Rental,CHECK
Anthony D McLean,664493,05/20/2015,259.48,TRVR-1501367,Travel Reimbursement April 28-30/15,259.48,Travel Reimbursement April 28-30/15,100,General Fund,4206,Fire-Office Of Emerg,72124,Employee Training,CHECK
MULCARE PIPELINE SOLUTIONS,664972,05/26/2015,17884.32,MPSI-65282,Cust Id # 100025,2210.26,Various items,807,Gas Operating Fund,98001,Customer Service,76104,Utility Operating Supplies,CHECK
Miscellaneous Vendor,666095,05/29/2015,37.14,1432213914-2582293,PRO HENRICO,11.50,PRO HENRICO,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
INFIAN LLC,664957,05/26/2015,26218.60,INV-1408-2015,Operating Supplies,1908.60,misc installation materials and supplies,100,General Fund,4103,Police-Administration,70215,Equipment Repair and Maint Services,CHECK
Miscellaneous Vendor,661633,05/06/2015,30.18,1330267413-2543150,VEH MOVED OUT OF CITY,11.50,VEH MOVED OUT OF CITY,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
ATLANTIC TECHNICAL SALES,663751,05/14/2015,7820.00,36054,GRACE S AND JEFFERSON,400.00,Traffic signal pole foundation design (City will provide test bore analysis),601,Capital Projects Funds,29001,Traffic Control Project/Grants,80006,Equipment And Other Assets Expense,CHECK
"K2 Trophies and Awards, LLC",664913,05/26/2015,656.33,0238319-IN,ORDER # 0564853,142.56,Triple Star Spin Football Trophy,100,General Fund,3010,Parks&Rec-Northside Richmond,71144,Recreational Supplies,CHECK
R AND R OFFICE SUPPLY,662236,05/08/2015,5884.85,0451986-001,ACCT# CRPA01-0,48.90,Economy-weight sheet protectors are designed for lightweight use. Nonstick polypropylene won't lift print off inserts and is acid-free and archival-safe. Letter-size inserts can be easily inserted from top. Design features a three-hole punc,100,General Fund,4103,Police-Administration,71012,Office Supplies And Stationary,CHECK
B W WILSON PAPER CO,663621,05/13/2015,10658.88,1798555,cust# 1190000,715.00,Monthly Paper Order for FY15-Husky Recy 8-1/2X11 20lb- Item Code 3160; Contract 1400000299,100,General Fund,2001,DIT-Administration,71012,Office Supplies And Stationary,CHECK
STANTEC CONSULTING SERVICES,130403,05/12/2015,6687.69,905867,CUST# 214100130,6687.69,"Audio-Visual Consultant Services
(new due to Stantec acquiring SHW Group)",601,Capital Projects Funds,23001,Buildings Projects/Grants,70121,Architectural And Engineering Services,EFT
Miscellaneous Vendor,661489,05/06/2015,31.55,1341250013-2544002,VEHICLE SOLD,31.55,VEHICLE SOLD,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,662484,05/12/2015,102.43,1433222114-2549790,PP 2014 72211,11.50,PP 2014 72211,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
Miscellaneous Vendor,661005,05/06/2015,12.27,1336969513-2543729,PP 2013 198878,12.27,PP 2013 198878,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,661332,05/06/2015,8.33,1338240113-2543808,PP 2013 234757,8.33,PP 2013 234757,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,660666,05/06/2015,13.88,1337400913-2543760,PP 2013 210511,13.88,PP 2013 210511,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,663289,05/12/2015,6120.42,0454695-001,CRPA01-0,130.94,Scheduling:  office supplies,100,General Fund,3001,Parks&Rec-General Admin,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,663516,05/13/2015,30.00,106052 -0515,Jury Payment for MARY P PIERCE  106052,30.00,Jury Payment for MARY P PIERCE  106052,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
HENKEL'S AND  MCCOY INC,130395,05/12/2015,247976.39,WLR-I1865,CUSTOMER 1834405,594.28,New Services,802,Water Construction Fund,92001,Water Operations,70552,Contract And Temporary Personnel Services,EFT
Miscellaneous Vendor,666084,05/29/2015,86.34,160734-001714,DPUCIS: THOMAS GRAVINS  28-MAY-15,86.34,DPUCIS: THOMAS GRAVINS  28-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
VIRGINIA DEPT OF SOCIAL SVCS,663964,05/18/2015,245.00,VDSS112013,BACKGROUND CHECK,14.00,"Employee Background Investigations, (Requested in February, 2014)# A-4841",401,Special Revenue Fund,1514,Juv Justice-Supervision Fees,70151,Information & Research Services,CHECK
Miscellaneous Vendor,660869,05/06/2015,9.74,1331030313-2543213,PP 2013 27008,9.74,PP 2013 27008,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
CHROMATE INDUSTRIAL CORP,663766,05/14/2015,628.57,G57A190502,ACCT# 123102,33.48,Bar Pry Aligning 16,810,Storm Water Operating Fund,91002,Stormwater Maintenance,76104,Utility Operating Supplies,CHECK
INFIAN LLC,660406,05/05/2015,1355.50,INV-2088-2013,PHYSICAL SECURITY SERVICES,250.00,PS - Physical Security Services,100,General Fund,8701,Emergency Communication,72153,"Equipment (Less Than 5,000)",CHECK
TSRC INC,132050,05/21/2015,544.30,2307983-0,Cust # 6460000,173.12,"COFFEE,BREAKFAST BLEND",100,General Fund,3601,"Econ Dev-Admin,Finance &",71012,Office Supplies And Stationary,EFT
Miscellaneous Vendor,662615,05/12/2015,34.97,1431082414-2549644,PP 2014 34341,34.97,PP 2014 34341,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,661807,05/06/2015,6.73,1332473313-2543347,PP 2013 50406,6.73,PP 2013 50406,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
HEROES APPAREL LLC,665006,05/26/2015,768.00,1587385REENTER,Cust ID # RICCIT,37.50,"HS1284/1245 Brown Short Sleeve Poly shirt - Stancel, Morris, T., Booker, Didio, Miller, M., Myrick,",100,General Fund,1604,Sheriff-Jail Operations,71011,Uniforms & Safty Supplies-Employee,CHECK
MEGA STAFFING SOLUTIONS INC,663639,05/14/2015,870.24,300003019,CUST # 3010,870.24,"Assigns duties and work schedules to crew members, supervising tasks to ensure staff is adequately trained.  Assists staff when necessary to complete tasks.  Maintains inventory of supplies and equipment, inspecting equipment periodically t",100,General Fund,2910,DPW-Trans Admin/Sig,70552,Contract And Temporary Personnel Services,CHECK
Miscellaneous Vendor,666080,05/29/2015,73.16,501541-001717,DPUCIS: GARY TORRANCE  28-MAY-15,73.16,DPUCIS: GARY TORRANCE  28-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
ASTYRA CORPORATION,665016,05/26/2015,3197.50,43453SW,TEMP SERVICES,2047.50,Technical Staff Augmentation services For CY15 Q1 (Scott Waletzko),100,General Fund,2003,DIT-Systems & Progr,70552,Contract And Temporary Personnel Services,CHECK
Miscellaneous Vendor,662885,05/12/2015,21.70,1437426114-2550037,PP 2014 200893,21.70,PP 2014 200893,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,662236,05/08/2015,5884.85,0451986-001,ACCT# CRPA01-0,57.10,"Patented design lowers the top rails of these hanging folders so the tabs of your manila folders inside are completely visible. Instead of relying on cumbersome plastic tabs, these folders make your folder contents visible. You spend less t",100,General Fund,4103,Police-Administration,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,664411,05/20/2015,159.71,723492-001632,DPUCIS: ROBERT RICHARDS  19-MAY-15,159.71,DPUCIS: ROBERT RICHARDS  19-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
R AND R OFFICE SUPPLY,663809,05/15/2015,6246.54,0461109-001,Acct # CRPA01-0,58.20,"Spiralbound pad offers a carbonless two-part telephone message forms. Each page has four message forms. Original forms are printed on white sheets, and the duplicates are printed on canary paper. Duplicates have black print. Divider card pr",100,General Fund,2703,Social Ser-Fin Assist Admi,71012,Office Supplies And Stationary,CHECK
WITMER PUBLIC SAFETY GROUP INC,664676,05/21/2015,37.50,1602737A,CUST# RICCIT,37.50,Short sleeve poly shirt,100,General Fund,1604,Sheriff-Jail Operations,71011,Uniforms & Safty Supplies-Employee,CHECK
CDW GOVERNMENT  INC,661967,05/06/2015,10848.80,SC94697,JABRA PRO 935 F/SOFT PHONE,360.00,(2) Plantronics Blackwire headsets (2) Senn Presence Bluetooth headsets(2) Jabra Pro soft Phone Headsets Quote # FTGL048 Contract # 14000021545,100,General Fund,2006,DIT-Telecommunication,72153,"Equipment (Less Than 5,000)",CHECK
Miscellaneous Vendor,666284,05/29/2015,73.80,1504554015-2582230,RE 2015 S0000493020,73.80,RE 2015 S0000493020,100,General Fund,2510,Finance-City Wide Reven,41051,Real Estate Tax Current,CHECK
TIMMONS GROUP,131816,05/20/2015,38680.84,168727,Project # 36153.001,8427.50,"A/E Services for Timmons Group under Annual Prof.
Services Contract with City",601,Capital Projects Funds,23001,Buildings Projects/Grants,70121,Architectural And Engineering Services,EFT
Miscellaneous Vendor,663441,05/13/2015,60.00,155100 -0515,Jury Payment for MEREDITH L HERTEL  155100,60.00,Jury Payment for MEREDITH L HERTEL  155100,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
Daryl Y Jones,664672,05/21/2015,338.59,TRVA-1501378,TRAVEL ADVANCE 5/28/15,338.59,TRAVEL ADVANCE 5/28/15,100,General Fund,0,Default,10333,Travel Advance,CHECK
BAKER & TAYLOR INC,661901,05/06/2015,12233.70,5013571856,ACCT# 304545 L398559 3 B00000,178.65,ACCT# 304545 L398559 3 B00000,100,General Fund,303,Library -Children And Fa,71141,Books & Reference Materials,CHECK
R AND R OFFICE SUPPLY,662326,05/11/2015,7051.72,0460854-001,ACCT# CRPA01-0,4.56,Durable clips offer wire handles upright for hanging. Ideal for temporary binding. Fold flat for everyday use. Ideal for temporary binding. Each clip is made with a corrosion-resistant coating.,100,General Fund,2723,Social Ser-Hsis-Human Serv,71012,Office Supplies And Stationary,CHECK
ROYS ELECTRIC MOTOR SERVICE,660499,05/05/2015,2450.00,105163,"CONDENSOR, CAPACITOR",5.00,Capacitor to Repair A/C at Engine Co. 18,100,General Fund,2902,DPW-Gen Svcs-Facili,71161,Air Conditioning Supplies,CHECK
Miscellaneous Vendor,660986,05/06/2015,10.69,1372179913-2544042,PP 2013 70713,10.69,PP 2013 70713,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
PARADIGM COMM PUBLICATION,660119,05/04/2015,158.65,79578,LEGAL ADVERTISEMENT,158.65,Advertising of FY 2015 Ordinances (Exemption),100,General Fund,401,Clerk -Office Of The C,70131,Public Information & Public Relations Services,CHECK
Miscellaneous Vendor,662490,05/12/2015,15.51,1431634314-2549685,PP 2014 46386,15.51,PP 2014 46386,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,664944,05/26/2015,800.61,0461265-001,ACCT CROA01-0,3.98,"Picture hanging strips with Command Adhesive hold firmly where placed. Fasteners can be separated and reattached with the rubber resin adhesive. When removed, they come off cleanly without surface damage. Each set holds up to 4 lb. Liner is",809,Waste Water Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,CHECK
R AND R OFFICE SUPPLY,663809,05/15/2015,6246.54,0461109-001,Acct # CRPA01-0,8.02,Optical-friendly mouse pad offers improved tracking and responsiveness. Nonskid rubber base protects desktop from scuffs and scratches and prevents slippage. Cover is made of durable polyester. Mouse pad contains a high percentage of recycl,100,General Fund,2703,Social Ser-Fin Assist Admi,71012,Office Supplies And Stationary,CHECK
R AND R OFFICE SUPPLY,662326,05/11/2015,7051.72,0460854-001,ACCT# CRPA01-0,17.69,"Keep organized with the QuickNotes Monthly Planning System to coordinate and plan business and social activities. Planning pages range 12 months from January to December. Two-page-per-month spreads include unruled daily blocks, a column for",100,General Fund,2723,Social Ser-Hsis-Human Serv,71012,Office Supplies And Stationary,CHECK
Patricia Foster,663266,05/12/2015,26.62,4841-9199-019-0692,Minority Business Roundtable Luncheon,26.62,Minority Business Roundtable Luncheon,100,General Fund,3401,MBD-Ombd Administra,72131,Software,CHECK
Miscellaneous Vendor,660552,05/06/2015,9.56,1435305514-2544287,PP 2014 109588,9.56,PP 2014 109588,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,662856,05/12/2015,20.36,1437564414-2550045,PP 2014 204756,20.36,PP 2014 204756,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,661616,05/06/2015,18.39,1333648413-2543469,DSV,18.39,DSV,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
